Frame,Reps,Hip Angle,Knee Angle,Back Angle,Error_Back_Straightness,Error_Knee_Caving,Error_Hip_Depth
0,1,151.88116948905596,86.7351400273942,167.5306988187289,1,1,0
1,1,163.39802760706135,108.4330386165349,160.44499988907535,1,1,1
2,1,153.16875484595573,109.15843644393428,172.8052296102266,0,0,1
3,1,127.42104917172675,140.11992973373657,172.8541865276674,1,0,0
4,1,139.51083865510859,80.09949881404481,179.41966777665058,1,1,1
5,1,142.3420492403188,91.72122779342376,161.45216331379763,1,0,0
6,1,147.90160625847716,134.89162771171146,172.3107281950931,1,0,0
7,1,132.055586819539,148.13660284596975,161.61854139209953,0,0,0
8,1,141.89985203977892,149.60477774091544,170.35786728483663,0,0,1
9,1,80.16700193543312,145.77336662465046,179.51592393093435,1,0,1
10,1,162.39156601205877,105.48029208737364,174.19834812683234,1,1,1
11,1,150.11543973373517,94.77088535583053,175.11194495004494,0,1,0
12,1,144.34761157504147,97.6943210907171,176.82096035602376,0,0,1
13,1,149.22471775177797,111.40885106659256,162.16431944457122,0,0,0
14,1,107.91108597893304,142.62679142850675,166.5845820950393,0,1,1
15,1,125.70083957856028,71.71664095211277,178.70852061792684,1,0,0
16,1,150.51194991155296,131.3453684853651,177.5184663746628,1,1,1
17,1,91.44723818396486,146.245896417346,176.53057239470425,1,0,0
18,1,96.24589372421579,98.13901650957348,178.89632323393738,0,0,1
19,1,121.29769846337702,103.92635778247015,161.87221188967064,1,1,1
20,1,115.7292292466154,108.62476114843389,166.56006802400802,1,0,0
21,1,145.61149338063126,107.05859463479325,167.82787345972218,0,1,1
22,1,129.70040751217215,80.28571258983273,172.3152082490791,0,1,1
23,1,154.25701685245355,136.6909219248846,163.85242708671652,1,0,1
24,1,90.7946442279967,155.60471391410277,164.0868316974467,1,1,1
25,1,85.38811372281316,139.24429471364326,168.8292966795137,0,1,1
26,1,167.99858116880344,138.86125098596995,161.72912047718722,1,1,0
27,1,99.84268046663041,77.23758252438166,166.22870830747271,1,0,0
28,1,100.36075506961464,72.98102467082172,177.68579717359103,0,0,0
29,1,151.5736551447821,106.66786620488341,179.63850810944083,0,0,1
30,1,156.1349709113189,72.36335246926389,165.38718478888526,1,1,0
31,1,156.3249690423748,78.33425850474183,167.35794102630354,0,1,0
32,1,160.77756233266618,112.83844054730903,173.99651491199057,0,0,0
33,1,96.7933500983782,99.53401403657688,175.38052291049976,0,0,1
34,1,84.73755338078595,88.89710370733646,178.6237206376788,0,1,1
35,1,81.51349208849489,87.771453629793,163.80045617770492,0,1,0
36,1,162.6796705966998,159.93507660760687,179.9135899428257,0,1,0
37,1,100.24443573479563,88.91695015358457,173.4860922773627,0,1,0
38,2,106.4490708877267,122.68727937059637,163.9519559513031,1,1,1
39,2,167.0932679644427,109.73632518108789,163.6339582800735,0,0,0
40,2,134.6377654191776,134.334966359119,162.92386864658965,1,0,0
41,2,119.87879627423894,96.59663491757357,179.22285322578713,1,0,1
42,2,102.79793137669657,108.13267332854247,163.98066079607148,0,1,1
43,2,140.9787599505851,91.42293692171415,173.1085623886508,1,1,1
44,2,109.10098857967023,77.31350442403308,164.36871268634326,1,1,0
45,2,115.82098600301963,119.50773339271682,171.0725592394112,0,1,0
46,2,155.5478708748301,117.27363970139628,177.96313365865913,1,1,1
47,2,148.85377229524488,127.80873409932266,166.22740326335384,0,1,1
48,2,93.78542400721923,89.85262937639297,178.82203409413316,1,0,1
49,2,122.85238645637492,128.51405980024788,171.25119567985462,0,1,0
50,2,120.95527897431754,84.47460486218202,166.96214177507875,0,0,1
51,2,120.16691518810532,86.65319054004821,160.01395501732773,0,0,0
52,2,138.27280988000956,90.68015432852678,177.51610152898627,0,0,0
53,2,162.30334268735652,137.55501144869118,163.71458720624514,0,0,0
54,2,96.09614224656985,144.24435289081407,171.5640484784311,1,1,0
55,2,95.35581494831655,148.42374339531816,161.5980595489214,1,1,1
56,2,121.34249900961183,94.27479328679127,164.22290850269192,0,1,0
57,2,93.12314809465649,96.93740239874063,163.87559223623074,1,1,0
58,2,127.29884117172388,83.99675601306221,173.925687486209,0,0,0
59,2,95.1693840862861,150.83090954562994,176.26063140318672,1,0,0
60,2,163.58695746123811,124.50492127930428,175.2514249509708,1,0,0
61,2,83.61568977614127,86.12120145486423,171.2480005909087,1,0,1
62,2,165.4772142149995,120.3248404943369,179.9459908066987,1,0,0
63,2,158.770306409382,102.93782214004958,171.61109905662227,0,1,0
64,2,150.1901543064485,137.87512738542625,166.07208560919977,1,1,1
65,2,99.99059771170853,143.21158540028938,177.44562797049392,1,0,0
66,2,137.90737726196465,92.31625317853891,178.85273841826108,0,1,0
67,2,116.76684514761943,70.82309631873952,175.86871326283728,0,1,0
68,2,134.84325674630145,144.0410514058786,164.19518480522134,0,1,0
69,2,168.9505633917578,103.85582587987321,178.75774191826193,1,0,1
70,2,127.90888430348201,78.15131955056509,178.82214648227364,1,0,1
71,2,137.76354696430042,91.10924077826006,160.90929990195247,0,0,0
72,2,97.2868565314236,137.29641078852978,164.04741899756698,1,0,0
73,2,84.26444328347678,149.5821895911934,175.1019042714913,1,1,1
74,2,167.84678395649655,114.79576982860024,161.44609554484038,0,0,0
75,3,84.59407662357188,77.05670141130742,170.92381728322664,0,1,1
76,3,82.43992135838315,93.3419228257499,176.61219564109726,1,0,1
77,3,139.924959293769,92.87638159909952,162.9510921855271,1,1,0
78,3,113.80925195405777,126.63440045253779,163.34899343274142,0,1,0
79,3,116.12856107151035,153.47470088837989,171.67393331453133,0,0,0
80,3,87.33075706853005,74.07403242938172,161.740962534742,1,0,0
81,3,168.58938518365696,102.89389618120299,172.14825101544844,1,1,1
82,3,106.64653449457221,79.04627530263019,163.35702062447382,0,0,0
83,3,93.35651054910716,135.9137126373226,162.10449201101278,0,1,0
84,3,86.94144944802335,121.86362501601378,170.88925902880393,0,0,0
85,3,117.27513659178766,94.88637089580119,175.66330005276762,1,0,1
86,3,95.0875986878203,125.04064427665077,173.29570437617716,1,1,0
87,3,154.5802744202084,124.5771395678222,177.29650349559915,0,1,0
88,3,164.83193183122052,110.80633862765659,177.5247225523238,1,0,0
89,3,109.60517496183004,98.10667094318583,163.34483893183022,1,0,1
90,3,136.1078902382116,102.36896538845517,161.0482050627603,0,0,1
91,3,121.84053408796083,117.3604328212804,166.8409353864003,1,0,1
92,3,161.74362641717462,148.18432312820124,168.44811491047068,1,1,0
93,3,160.6675812758317,156.3037438729214,166.97268752806025,0,0,0
94,3,115.15059205689232,144.38239514650343,169.00308241928218,0,1,1
95,3,110.49599848822842,101.54451407989146,167.55315408958384,0,0,0
96,3,107.15938390285255,107.94034672698976,161.0762037461277,1,1,1
97,3,152.41467380198577,104.42087552712678,160.81928518930619,0,0,1
98,3,169.26098551821644,81.11442456509863,175.15138258304364,0,0,0
99,3,107.20236671616323,154.52525485813482,164.20841440829096,1,0,0
100,3,87.18684860415958,79.79243142343678,173.53319841241677,1,1,0
101,3,163.61529402832585,84.64676275057298,165.25451546062263,0,1,0
102,3,92.05924107366948,72.84130223556588,162.7642590272486,1,0,0
103,3,120.56314426970482,76.24119509682961,178.9425112099192,0,1,0
104,3,112.93410655737827,120.92602218533577,162.0584460323305,0,0,0
105,3,112.58435173614083,107.31821917483143,178.85121810707676,0,1,1
106,3,106.9358564632642,126.36790946658721,162.4629131092826,0,0,1
107,3,110.01892138578938,85.87493423375645,177.5013255077293,1,0,1
108,3,90.90816481383878,75.64219753112575,163.4044080921481,1,0,1
109,3,109.20636269583123,146.51906704273807,174.23234922780802,0,0,0
110,3,118.7035938709824,128.76306185675074,164.35938679988996,0,0,0
111,3,149.0841074184213,86.25668914753018,171.15157975882062,0,0,1
112,4,94.04493671939153,112.71930672332483,167.6847998978708,1,0,0
113,4,121.4832997065677,157.32809680035734,168.00393686294336,1,1,0
114,4,153.68335992618594,111.30472219085819,177.6602548712697,0,0,1
115,4,133.51134540130477,132.43731941819908,173.0666969022546,0,1,0
116,4,161.60582613601738,151.92455140958987,179.13376144342885,1,1,0
117,4,123.74751960443137,101.67193266746747,178.4094314710739,1,0,1
118,4,130.26355090344427,91.1193584830539,175.34514640676366,0,0,0
119,4,149.31741932683195,102.82860220772366,179.88457638681126,0,1,0
120,4,146.73669457095139,84.96836561884635,166.39635539365415,1,0,0
121,4,89.63476714032419,150.99609736952948,179.5088394590782,1,0,1
122,4,123.89960265789298,73.20215109597538,171.95947291817637,0,1,1
123,4,117.82457909058392,100.69010198282095,168.1696286444124,0,0,1
124,4,122.67644029481903,132.60528369997044,179.2230319270692,1,0,0
125,4,106.39769229588177,83.76484250552313,169.90998208598685,1,1,1
126,4,142.02994747059128,86.89562845125438,171.2735081174385,0,1,1
127,4,128.55911954068057,134.23054092724766,179.76326022312938,1,0,0
128,4,82.05048193479467,138.14116201127803,168.66766205570158,1,1,1
129,4,129.80655764559668,129.9298897181339,171.88875160956712,1,1,0
130,4,157.9293462788881,121.81133337792863,168.036061935124,0,1,0
131,4,120.31607850948012,153.05828532142377,173.82722744631718,1,0,1
132,4,82.14969788716749,146.81559732948813,169.43288056116472,0,1,0
133,4,98.82335545050155,111.56362189962655,174.9683800656573,0,1,1
134,4,139.35634757185449,80.2580829838597,176.82313839012087,0,1,0
135,4,165.6032936152908,91.80345314612373,177.2745619177567,0,0,0
136,4,104.08208277749837,143.81545958837793,160.98705013518548,1,0,1
137,4,87.48761699762424,103.5365104062702,164.78800458237427,0,0,0
138,4,95.99259637024103,154.83286006322226,174.20418499049845,0,1,0
139,4,127.8281357973753,89.84657332419947,177.41869332584102,1,0,1
140,4,117.82728433474816,73.30313486120318,170.38791026915285,0,0,1
141,4,159.84148013450397,142.4805540159649,165.7112411132833,1,1,0
142,4,145.9842932989508,136.42661812904424,161.73366918578432,0,0,1
143,4,92.8095997595744,110.34129958173071,179.81517494201995,0,0,1
144,4,154.32256977738183,102.76035056542847,162.1224379025105,1,1,1
145,4,151.81714148394082,113.42217243890565,162.08185538570356,0,1,1
146,4,129.31179369415503,141.12176607938386,174.12034112184705,1,1,0
