Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality,Error_Hip_Depth,Error_Back_Straightness,Error_Knee_Caving
0,0,69.65295943063394,97.22231021650386,54.42829065490401,71.28993176937576,97,1,1,1
1,0,72.03079704912669,99.05315022433376,53.63247301996368,71.05147269934929,97,1,1,1
2,0,72.58886406200462,99.95941681818067,52.31165763480531,70.35374364011214,96,1,1,1
3,0,73.11240602346051,100.60501473711449,52.336677795816435,70.47735846950299,96,1,1,1
4,0,73.84653620314332,102.39068119992795,52.327539378794306,71.68535549414145,96,1,1,1
5,0,73.92572507621773,103.55687689310544,52.155104396484624,72.0135573753748,96,1,1,1
6,0,74.14042074678633,105.33300514634018,52.477770314870625,74.69247117250322,96,1,1,1
7,0,74.084877246749,107.26512145669557,52.37784197207385,75.77256889237731,96,1,1,1
8,0,74.29382841842373,107.04546622902282,52.443463800772896,75.39497281272791,96,1,1,1
9,0,74.42412128637639,107.10784017150685,52.821393783135555,75.38261707603539,97,1,1,1
10,0,74.4043466961287,106.95290702618159,53.285402086400076,75.44252936706204,97,1,1,1
11,0,74.44748153533914,106.65120669893412,53.775724442273244,74.98395705898638,97,1,1,1
12,0,74.99414434548231,106.43242203004009,54.56147527341728,74.67785407822484,97,1,1,1
13,0,75.81058185974855,107.14938028076216,55.32584905775786,74.98981393097826,98,1,1,1
14,0,76.02206173625949,107.24348620910573,55.154772897615935,74.97578899344427,97,1,1,1
15,0,77.9499181328516,108.88890420596664,55.60458143952737,75.33791708200901,98,1,1,1
16,0,79.07363542129924,109.80075020510739,55.693862541459694,75.08004748158488,98,1,1,1
17,0,80.0755536548541,110.90753125307188,55.53601547589476,75.37407264513497,98,1,1,1
18,0,80.80889995025319,112.84460800625735,55.469848213393426,74.93780469577844,98,1,1,1
19,0,83.4604502042091,116.53268300789787,55.817076349577384,75.93679591969764,98,1,1,1
20,0,88.07682810537997,121.02272019034065,56.892598067126116,77.33971882419564,98,1,1,1
