Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality
0,0,160.21853138312818,151.26803133572983,158.53830940405044,154.36366398740378,100
1,0,159.95112162362318,150.0841091385424,158.73710469609432,154.52110262651777,100
2,0,157.93335568044282,146.49119562279057,157.06343140214113,151.53111449449773,100
3,0,155.16552839779274,141.7636941220186,154.50804923053292,146.82614954932652,100
4,0,151.3516813004548,135.84406923924914,151.18000676319778,141.0639962077139,100
5,0,148.67320661235755,132.94303851746156,148.6365431275377,136.62249037297656,100
6,0,145.18076103889615,129.80858901185454,145.86488761825606,132.80889668596635,100
7,0,139.08529405628443,124.2087692636427,140.15158589242384,126.23613461703698,100
8,0,132.39526887547896,118.56046813805217,133.66594496661253,118.85941359749242,100
9,0,123.47167871466056,113.02078798014949,124.70162434265777,112.59759608211262,100
10,0,113.48759900678674,103.39042718832334,117.02785865131808,103.53648870691947,100
11,0,82.8911224195365,93.78893243474404,86.38134099362807,94.80004521162611,100
12,0,69.92792812748672,88.18297009959308,73.41527074199436,89.0192094465177,99
13,0,71.55522706318308,85.86905683630374,75.0354320574974,87.3794005411067,100
14,0,75.69518089706186,77.7245190688463,76.04097727552106,80.62153675759265,100
15,0,79.10629388165775,72.08162018733611,76.19017878958506,75.16892360025564,100
16,0,63.670674775987685,66.50445895620912,60.92469158065037,68.41404842255955,96
17,0,59.18263709486403,62.92421036755429,55.12983771865711,65.23525667836962,91
18,0,62.87430619891646,57.952004358893234,58.83975667484098,60.88919339444821,92
19,0,65.60453040786918,55.38853138044414,62.71061093527226,57.66790000058945,92
20,0,64.17992876627827,52.38235982496981,62.69269600103131,53.32728251227277,88
21,0,68.52772283353607,50.59443383923515,69.40566017858221,52.76293718191629,89
22,0,68.36945819618937,52.02195836066694,68.69644270734203,54.473826584539324,90
23,0,68.49870124078849,51.04885132031521,68.68034432801194,53.318441939803606,89
24,0,78.37729065514128,53.80214207106396,72.05067584938668,54.82189919844882,91
25,0,85.3762665142672,56.44747070757439,82.20407052106604,57.56537973679441,93
26,0,81.30188986208796,56.5451448930453,76.78314696283273,58.815825625150644,94
27,0,75.93984866186535,60.60315670783408,74.68334834792934,64.8560794877264,96
28,0,86.07547770342491,69.38613612571055,88.250817309835,74.75327194122052,99
29,0,89.93816235469586,75.6067335743537,94.8045199488025,81.28205892987962,100
30,0,88.8465087334462,80.52247954685467,96.15452026197659,86.28058460916593,100
31,0,92.1985956088699,91.49982377848663,98.97455822130104,97.02000172853246,100
32,0,103.09934144491513,99.32501948909045,111.05246484697145,104.74828110299653,100
33,0,115.28607081046071,106.95242525916748,123.64262350628447,112.1026246745568,100
34,0,118.84297029363469,108.4274028192426,126.74387346834719,112.82218917526144,100
35,0,126.94974139165221,114.22625274479168,134.08979662854148,117.81254354086427,100
36,0,132.36074546079539,121.35000925830325,138.68531110627794,124.22803723628968,100
37,0,138.99609464816405,126.26457830091196,144.0608135770253,128.89310288216015,100
38,0,147.597252200885,132.73760389634913,151.4245157263855,135.061500833102,100
39,0,154.1448926289156,139.38066772910304,157.2069161956123,142.25225152510595,100
40,0,158.07230271900167,145.18426402915333,160.8596399997049,149.95460732935877,100
41,0,158.81415848469197,150.6425197520526,159.78656245609102,157.1027472565177,100
42,0,160.87963708852948,156.07084027369052,161.61365126323946,162.96579603825302,100
43,0,163.63039804081083,161.49246642704864,164.99752258187434,171.82688118125535,100
44,0,168.16334592816833,167.59812452268778,170.61514864034487,179.38466593005128,100
45,0,170.6855386045401,169.71050959950938,173.35579202021125,178.84664253295637,100
46,0,171.4315668531264,170.40784725406752,172.87968737919874,178.17685499325478,100
47,0,171.05888009022283,170.506891911281,171.36307166854056,177.7329876358903,100
48,0,170.79747694119587,170.1830406131275,170.8012697453846,177.67840268588165,100
49,0,170.77975583684807,170.70877509975747,170.0026830726944,177.7875969482815,100
50,0,170.60013810488266,171.09671690456562,169.5801589935848,177.57503607536157,100
51,0,170.7156774390487,171.5208444686348,169.54646563145616,177.43356206455383,100
52,0,171.14559435040672,171.69757088162703,169.8076768153412,177.82860001764374,100
53,0,171.26417746461726,171.80732128631595,169.9666631941896,177.974286069668,100
54,0,171.46752431937452,171.59540677654138,170.05686042074151,178.33166208835334,100
